City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ambon,-3.6954,128.1814,27.08,89,40,1.03,ID,1679967071
1,leningradskiy,69.3833,178.4167,-14.55,78,19,2.15,RU,1679967072
2,kapaa,22.0752,-159.319,27.18,80,0,5.66,US,1679967072
3,tuatapere,-46.1333,167.6833,9.75,62,66,5.11,NZ,1679967073
4,toccoa,34.5773,-83.3324,21.8,28,0,2.57,US,1679967000
5,rikitea,-23.1203,-134.9692,26.49,78,85,6.31,PF,1679967073
6,mattru,7.6244,-11.8332,23.98,87,99,0.49,SL,1679967074
7,cherskiy,68.75,161.3,-12.09,78,21,9.34,RU,1679967074
8,butaritari,3.0707,172.7902,27.95,78,100,6.98,KI,1679967075
9,hobyo,5.3505,48.5268,28.37,71,74,5.09,SO,1679967075
10,ushuaia,-54.8,-68.3,1.81,93,100,9.26,AR,1679967076
11,lebu,-37.6167,-73.65,11.93,90,3,2.01,CL,1679967077
12,buraydah,26.326,43.975,14.25,42,0,3.71,SA,1679967078
13,kolo,52.2002,18.6387,-0.12,66,59,4.5,PL,1679967078
14,akyab,20.15,92.9,25.91,70,0,1.79,MM,1679967079
15,nemuro,43.3236,145.575,3.36,69,0,4.33,JP,1679967080
16,ribeira grande,38.5167,-28.7,16.54,83,99,9.39,PT,1679967080
17,thompson,55.7435,-97.8558,-13.91,56,75,4.12,CA,1679966794
18,saldanha,-33.0117,17.9442,17.31,76,0,6.5,ZA,1679967081
19,zirandaro,18.45,-100.9833,30.55,23,100,2.64,MX,1679967082
20,baghdad,33.3406,44.4009,14.95,100,0,3.6,IQ,1679966830
21,port hedland,-20.3167,118.5667,31.03,70,40,2.57,AU,1679967083
22,hermanus,-34.4187,19.2345,16.92,62,0,1.24,ZA,1679967083
23,mahebourg,-20.4081,57.7,24.03,94,20,2.57,MU,1679967084
24,bundi,25.4417,75.6417,22.3,32,3,0.38,IN,1679967084
25,mataura,-46.1927,168.8643,10.82,49,33,4.12,NZ,1679967085
26,punta arenas,-53.15,-70.9167,3.06,81,0,8.23,CL,1679967000
27,mushie,-3.0167,16.9,21.28,99,90,0.32,CD,1679967086
28,bengkulu,-3.8004,102.2655,27.81,72,99,1.1,ID,1679967069
29,port alfred,-33.5906,26.891,16.21,79,7,1.34,ZA,1679967087
30,severo-kurilsk,50.6789,156.125,-0.18,92,100,10.18,RU,1679967088
31,sandpoint,48.2766,-116.5533,7.6,58,0,1.54,US,1679967088
32,saint-philippe,-21.3585,55.7679,22.77,74,5,0.89,RE,1679967089
33,faanui,-16.4833,-151.75,27.99,69,100,4.19,PF,1679967089
34,souillac,-20.5167,57.5167,21.21,94,20,2.57,MU,1679967091
35,vanimo,-2.6741,141.3028,29.84,65,66,2.38,PG,1679967092
36,sola,-13.8833,167.55,28.2,76,37,4.16,VU,1679967092
37,kuytun,54.3419,101.5036,2.57,90,100,3.36,RU,1679967093
38,mehamn,71.0357,27.8492,-3.03,74,100,5.14,NO,1679967093
39,puerto ayora,-0.7393,-90.3518,25.86,97,18,1.34,EC,1679967094
40,busselton,-33.65,115.3333,20.06,45,0,4.46,AU,1679967095
41,buchanan,5.8808,-10.0467,25.58,88,86,1.67,LR,1679967095
42,richards bay,-28.783,32.0377,19.03,67,100,1.34,ZA,1679967096
43,qaanaaq,77.484,-69.3632,-24.46,63,50,3.17,GL,1679967096
44,bluff,-46.6,168.3333,11.0,52,68,9.5,NZ,1679967097
45,saskylakh,71.9167,114.0833,-26.22,97,89,3.82,RU,1679967097
46,udachnyy,66.4167,112.4,-17.53,70,39,2.98,RU,1679967097
47,le pradet,43.1066,6.0172,9.79,44,0,6.17,FR,1679967098
48,caravelas,-17.7125,-39.2481,24.13,84,10,2.14,BR,1679967099
49,airai,-8.9266,125.4092,21.5,73,90,1.08,TL,1679967099
50,broken hill,-31.95,141.4333,22.14,64,100,3.86,AU,1679967100
51,port elizabeth,-33.918,25.5701,16.16,81,0,5.66,ZA,1679966999
52,corn island,12.1694,-83.0418,26.76,78,2,8.64,NI,1679967101
53,mar del plata,-38.0023,-57.5575,18.94,82,0,4.63,AR,1679967101
54,vaini,-21.2,-175.2,24.09,100,75,5.14,TO,1679967102
55,amuntai,-2.4177,115.2494,23.45,99,100,1.1,ID,1679967102
56,dikson,73.5069,80.5464,-26.89,100,99,4.51,RU,1679967103
57,talnakh,69.4865,88.3972,-29.33,99,99,2.03,RU,1679967103
58,shintomi,32.0785,131.4723,15.62,50,48,3.33,JP,1679967104
59,vondrozo,-22.8167,47.2833,17.32,92,88,1.81,MG,1679967104
60,saint george,37.1041,-113.5841,13.33,14,0,1.54,US,1679967104
61,bethel,41.3712,-73.414,6.2,85,100,2.57,US,1679967014
62,yellowknife,62.456,-114.3525,-13.71,47,20,3.6,CA,1679967042
63,rawson,-43.3002,-65.1023,23.62,30,100,7.04,AR,1679967106
64,linxia,35.6003,103.2064,8.48,38,100,1.74,CN,1679967107
65,avarua,-21.2078,-159.775,28.03,83,20,3.6,CK,1679967107
66,hobart,-42.8794,147.3294,15.14,94,75,2.06,AU,1679966918
67,bull savanna,17.8868,-77.5902,22.62,80,0,4.59,JM,1679967108
68,atuona,-9.8,-139.0333,27.04,76,100,5.34,PF,1679966904
69,clyde river,70.4692,-68.5914,-29.87,76,0,1.03,CA,1679966819
70,geraldton,-28.7667,114.6,27.23,47,75,9.26,AU,1679967109
71,roald,62.5833,6.1333,-0.14,69,5,6.69,NO,1679967110
72,hithadhoo,-0.6,73.0833,28.21,75,100,3.67,MV,1679967110
73,tuktoyaktuk,69.4541,-133.0374,-3.0,93,75,6.17,CA,1679967112
74,bubaque,11.2833,-15.8333,25.29,71,77,4.01,GW,1679967112
75,brigantine,39.4101,-74.3646,10.01,94,100,5.14,US,1679967113
76,lagoa,39.05,-27.9833,15.33,78,99,13.17,PT,1679967114
77,lorengau,-2.0226,147.2712,29.62,68,76,2.27,PG,1679967114
78,albany,42.6001,-73.9662,4.73,88,100,1.77,US,1679967010
79,luderitz,-26.6481,15.1594,15.81,89,8,1.18,NA,1679967115
80,pimentel,-6.8367,-79.9342,27.16,69,100,4.12,PE,1679967116
81,santa luzia,-19.7697,-43.8514,26.5,65,0,4.63,BR,1679967116
82,hilo,19.7297,-155.09,27.38,81,20,7.2,US,1679967037
83,puerto escondido,15.85,-97.0667,28.46,65,75,2.57,MX,1679967117
84,provideniya,64.3833,-173.3,-10.91,57,20,6.0,RU,1679967118
85,new norfolk,-42.7826,147.0587,14.95,77,100,0.45,AU,1679967118
86,kongsberg,59.6652,9.6465,-5.32,96,19,1.45,NO,1679967119
87,fortuna,40.5982,-124.1573,10.19,74,100,6.71,US,1679967119
88,barrow,71.2906,-156.7887,-12.99,72,40,11.32,US,1679967121
89,moindou,-21.6924,165.677,26.97,76,100,5.32,NC,1679967121
90,kirakira,-10.4544,161.9205,29.4,74,100,2.76,SB,1679967121
91,san quintin,30.4833,-115.95,15.04,65,0,3.91,MX,1679967122
92,upernavik,72.7868,-56.1549,-29.13,97,44,3.35,GL,1679967123
93,kalispell,48.1958,-114.3129,4.82,52,20,5.14,US,1679967123
94,bayshore gardens,27.4253,-82.5904,24.46,72,75,2.57,US,1679967124
95,abu dhabi,24.4667,54.3667,25.06,70,0,3.6,AE,1679967096
96,ko samui,9.5357,99.9357,28.95,65,20,5.14,TH,1679967125
97,corinto,37.9407,22.9573,16.05,69,0,4.88,GR,1679967126
98,cape town,-33.9258,18.4232,19.95,54,0,0.51,ZA,1679967000
99,hambantota,6.1241,81.1185,26.6,76,82,2.06,LK,1679967127
100,bad aussee,47.61,13.7824,0.51,95,100,4.24,AT,1679967127
101,bitung,1.4451,125.1824,31.47,73,100,0.7,ID,1679967128
102,kahului,20.8947,-156.47,29.01,62,20,5.66,US,1679967001
103,pevek,69.7008,170.3133,-17.71,76,8,7.12,RU,1679967130
104,saint-pierre,-21.3393,55.4781,22.82,56,0,4.12,RE,1679967130
105,chokurdakh,70.6333,147.9167,-14.55,92,84,3.5,RU,1679967131
106,ostrovnoy,68.0531,39.5131,-9.45,84,99,3.32,RU,1679967132
107,bredasdorp,-34.5322,20.0403,14.58,70,0,0.94,ZA,1679967132
108,santa maria,-29.6842,-53.8069,17.61,82,0,1.03,BR,1679967133
109,haines junction,60.7522,-137.5108,1.97,27,99,2.06,CA,1679967133
110,whitecourt,54.1502,-115.6855,-2.42,39,0,6.69,CA,1679967133
111,inhambane,-23.865,35.3833,23.34,57,100,6.17,MZ,1679967134
